Native Status,Physiognomy,MN DNR Official Name,Common Name,Emerging (New) Taxonomy,Gleason & Cronquist Synonym
I,H,Inula helenium,elecampane,,Inula helenium
N,H,Iodanthus pinnatifidus,purple rocket,,Iodanthus pinnatifidus
U,H,Ipomoea hederacea,ivyleaf morning-glory,,Ipomoea hederacea
I,H,Iris pseudacorus,yellow flag,,Iris pseudacorus
N,H,Iris versicolor,northern blue flag,,Iris versicolor
N,H,Iris virginica,southern blue flag,,Iris virginica var. shrevei
N,H,Isanthus brachiatus,false pennyroyal,,Isanthus brachiatus
N,"H,S",Isoetes echinospora,spiny-spored quillwort,,Isoetes echinospora
N,"H,S",Isoetes lacustris,lake quillwort,,Isoetes lacustris
N,"H,S",Isoetes melanopoda,blackfoot quillwort,,Isoetes melanopoda
N,"H,S",Isoetes melanopoda subsp. melanopoda,blackfoot quillwort,,
N,H,Jeffersonia diphylla,twinleaf,,Jeffersonia diphylla
N,D,Juglans cinerea,butternut,,Juglans cinerea
N,D,Juglans nigra,black walnut,,Juglans nigra
I,D,Juglans xbixbyi,Buartnut,,
N,G,Juncus alpinoarticulatus,alpine rush,,Juncus alpinoarticulatus
N,G,Juncus anthelatus,greater poverty rush,,
N,G,Juncus articulatus,jointed rush,,Juncus articulatus
N,G,Juncus balticus subsp. littoralis,baltic rush,,Juncus arcticus var. littoralis
U,G,Juncus brachycarpus,short-fruited rush,,Juncus brachycarpus
N,G,Juncus brevicaudatus,narrow-panicled rush,,Juncus brevicaudatus
N,G,Juncus bufonius,toad rush,,"Juncus bufonius, Juncus bufonius var. bufonius, Juncus bufonius var. halophilus"
N,G,Juncus canadensis,Canada rush,,Juncus canadensis
I,G,Juncus compressus,compressed rush,,Juncus compressus
N,G,Juncus dudleyi,Dudley's rush,,Juncus tenuis var. dudleyi
N,G,Juncus effusus subsp. solutus,soft rush,,Juncus effusus var. solutus
N,G,Juncus filiformis,thread-like rush,,Juncus filiformis
N,G,Juncus gerardii,black-grass rush,,Juncus gerardii
N,G,Juncus greenei,Greene's rush,,Juncus greenei
N,G,Juncus interior,inland rush,,Juncus tenuis var. tenuis
N,G,Juncus longistylis,long-styled rush,,Juncus longistylis
N,G,Juncus marginatus,marginated rush,,Juncus marginatus
N,G,Juncus nodosus,knotty rush,,Juncus nodosus
N,G,Juncus pelocarpus,brown-fruited rush,,Juncus pelocarpus
N,G,Juncus pylaei,Pylaie's soft rush,,
N,G,Juncus stygius var. americanus,bog rush,,Juncus stygius var. americanus
N,G,Juncus subtilis,slender rush,,Juncus subtilis
N,G,Juncus tenuis,path rush,,Juncus tenuis
N,G,Juncus torreyi,Torrey's rush,,Juncus torreyi
N,G,Juncus vaseyi,Vasey's rush,,Juncus vaseyi
N,G,Juncus xgracilescens,grass-like rush,,
N,E,Juniperus communis var. depressa,bush juniper,,Juniperus communis var. depressa
N,E,Juniperus horizontalis,creeping juniper,,Juniperus horizontalis
N,E,Juniperus virginiana var. virginiana,eastern red cedar,,Juniperus virginiana var. virginiana
N,B,Kalmia polifolia,bog laurel,,Kalmia polifolia
I,H,Knautia arvensis,bluebuttons,,Knautia arvensis
I,H,Kochia scoparia subsp. scoparia,summer cypress,,Kochia scoparia
N,G,Koeleria macrantha,junegrass,,Koeleria pyramidata
N,H,Krigia biflora,orange dwarfdandelion,,Krigia biflora
N,H,Lactuca biennis,biennial blue lettuce,,Lactuca biennis
N,H,Lactuca canadensis,Canada wild lettuce,,Lactuca canadensis
N,H,Lactuca floridana,Florida wild lettuce,,Lactuca floridana
N,H,Lactuca ludoviciana,Louisiana lettuce,,Lactuca ludoviciana
I,H,Lactuca serriola,prickly lettuce,,Lactuca serriola
I,H,Lamium amplexicaule,henbit,,Lamium amplexicaule
I,H,Lamium galeobdolon,yellow archangel,,Lamium galeobdolon
N,H,Laportea canadensis,woodnettle,,Laportea canadensis
I,H,Lappula redowskii,western stickseed,,Lappula redowskii
I,H,Lappula squarrosa,two-row stickseed,,Lappula squarrosa
I,H,Lapsana communis,nipplewort,,Lapsana communis
N,E,Larix laricina,tamarack,,Larix laricina
N,H,Lathyrus japonicus var. maritimus,beach pea,,"Lathyrus maritimus, Lathyrus maritimus var. glaber"
I,H,Lathyrus latifolius,everlasting pea,,Lathyrus latifolius
N,H,Lathyrus ochroleucus,cream pea,,Lathyrus ochroleucus
N,H,Lathyrus palustris,marsh vetchling,,Lathyrus palustris
I,,Lathyrus sylvestris,,,
I,H,Lathyrus tuberosus,tuberous vetchling,,Lathyrus tuberosus
N,H,Lathyrus venosus var. intonsus,veiny pea,,Lathyrus venosus var. intonsus
N,H,Lechea intermedia var. intermedia,intermediate pinweed,,Lechea intermedia
N,H,Lechea stricta,prairie pinweed,,Lechea stricta
N,H,Lechea tenuifolia,narrow-leaved pinweed,,Lechea tenuifolia var. tenuifolia
N,G,Leersia lenticularis,catchfly grass,,Leersia lenticularis
N,G,Leersia oryzoides,rice cut grass,,Leersia oryzoides
N,G,Leersia virginica,white cutgrass,,Leersia virginica
N,"F,H",Lemna minor,lesser duckweed,,Lemna minor s.l.
N,"F,H",Lemna obscura,little duckweed,,Lemna minor s.l.
N,"F,H",Lemna perpusilla,minute duckweed,,Lemna perpusilla
N,"F,H",Lemna trisulca,star duckweed,,Lemna trisulca
N,"F,H",Lemna turionifera,turion duckweed,,Lemna minor s.l.
I,H,Leontodon autumnalis,fall dandelion,,Leontodon autumnalis var. autumnalis
I,H,Leonurus cardiaca,common motherwort,,Leonurus cardiaca
I,H,Leonurus marrubiastrum,,,Leonurus marrubiastrum
I,H,Leonurus sibiricus,motherwort,,Leonurus sibiricus
I,H,Lepidium campestre,field peppergrass,,Lepidium campestre
N,H,Lepidium densiflorum,green-flowered peppergrass,,Lepidium densiflorum
I,H,Lepidium draba,hoary cress,,Cardaria draba
N,H,Lepidium virginicum subsp. virginicum,Virginia peppergrass,,Lepidium virginicum var. virginicum
N,G,Leptochloa fusca subsp. fascicularis,bearded sprangletop,,Leptochloa fascicularis var. acuminata
N,H,Lespedeza capitata,round-headed bush clover,,Lespedeza capitata
I,H,Lespedeza cuneata,sericea lespedeza,,Lespedeza cuneata
N,H,Lespedeza leptostachya,prairie bush clover,,Lespedeza leptostachya
I,H,Leucanthemella serotina,giant daisy,,
I,H,Leucanthemum vulgare,ox-eye daisy,,Chrysanthemum leucanthemum
N,H,Leucophysalis grandiflora,dwarf ground cherry,,Leucophysalis grandiflora
N,H,Leucospora multifida,narrowleaf paleseed,,Leucospora multifida
I,H,Levisticum officinale,lovage,,
N,H,Liatris aspera,rough blazing star,,Liatris aspera
N,H,Liatris cylindracea,cylindric blazing star,,Liatris cylindracea
N,H,Liatris ligulistylis,northern plains blazing star,,Liatris ligulistylis
N,H,Liatris punctata var. punctata,dotted blazing star,,Liatris punctata
N,H,Liatris pycnostachya var. pycnostachya,great blazing star,,Liatris pycnostachya
I,H,Lilium lancifolium,tiger lily,,Lilium lancifolium
N,H,Lilium michiganense,Michigan lily,,Lilium michiganense
N,H,Lilium philadelphicum,wood lily,,Lilium philadelphicum var. andinum
N,H,Limosella aquatica,mudwort,,Limosella aquatica
I,H,"Linaria dalmatica subsp. dalmatica	",dalmatian toadflax,,
I,H,Linaria vulgaris,butter-and-eggs,,Linaria vulgaris
N,H,Lindernia dubia,yellow-seeded false pimpernel,,"Lindernia dubia, Lindernia dubia var. anagallidea, Lindernia dubia var. dubia"
N,H,Linnaea borealis var. longiflora,twinflower,,Linnaea borealis var. longiflora
N,H,Linum lewisii var. lewisii,blue flax,,
I,H,Linum perenne,blue flax,,
N,H,Linum rigidum,stiffstem flax,,Linum rigidum
N,H,Linum rigidum var. rigidum,stiff-stem yellow flax,,Linum rigidum var. rigidum
N,H,Linum rigidum var. simulans,stiffstem flax,,
N,H,Linum sulcatum,grooved yellow flax,,Linum sulcatum
I,H,Linum usitatissimum,common flax,,Linum usitatissimum
N,H,Liparis liliifolia,lily-leaved twayblade,,Liparis liliifolia
N,H,Liparis loeselii,Loesel's twayblade,,Liparis loeselii
N,H,Listera auriculata,auricled twayblade,,Listera auriculata
N,H,Listera convallarioides,broad-leaved twayblade,,Listera convallarioides
N,H,Listera cordata var. cordata,heart-leaved twayblade,,Listera cordata
N,H,Lithospermum canescens,hoary puccoon,,Lithospermum canescens
N,H,Lithospermum caroliniense var. croceum,hairy puccoon,,Lithospermum caroliniense var. croceum
N,H,Lithospermum incisum,narrow-leaved puccoon,,Lithospermum incisum
N,H,Lithospermum latifolium,American gromwell,,Lithospermum latifolium
N,"H,S",Littorella americana,American shore plantain,,Littorella uniflora var. americana
N,H,Lobelia cardinalis var. cardinalis,cardinal flower,,Lobelia cardinalis var. cardinalis
N,"H,S",Lobelia dortmanna,water lobelia,,Lobelia dortmanna
N,H,Lobelia inflata,Indian tobacco,,Lobelia inflata
N,H,Lobelia kalmii,Kalm's lobelia,,Lobelia kalmii
N,H,Lobelia siphilitica,great lobelia,,Lobelia siphilitica
N,H,Lobelia siphilitica var. ludoviciana,great lobelia,,Lobelia siphilitica var. ludoviciana
N,H,Lobelia siphilitica var. siphilitica,great lobelia,,Lobelia siphilitica var. siphilitica
N,H,Lobelia spicata,pale-spiked lobelia,,Lobelia spicata
N,H,Lobelia spicata var. hirtella,rough-spiked lobelia,,Lobelia spicata var. hirtella
N,H,Lobelia spicata var. spicata,rough-spiked lobelia,,Lobelia spicata var. spicata
I,H,Lobularia maritima,sweet alyssum,,Lobularia maritima
I,H,Logfia arvensis,field cotton rose,,Filago arvensis
I,G,Lolium multiflorum,Italian ryegrass,,
I,G,Lolium perenne,English rye grass,,"Lolium perenne, Lolium perenne var. aristatum, Lolium perenne var. perenne"
N,H,Lomatium orientale,desert parsley,,Lomatium orientale
N,D,Lonicera caerulea var. villosa,mountain fly honeysuckle,,Lonicera caerulea var. villosa
N,D,Lonicera canadensis,fly honeysuckle,,Lonicera canadensis
N,C,Lonicera dioica,wild honeysuckle,,Lonicera dioica
N,C,Lonicera dioica var. dioica,wild honeysuckle,,Lonicera dioica var. dioica
N,C,Lonicera dioica var. glaucescens,wild honeysuckle,,Lonicera dioica var. glaucescens
N,D,Lonicera hirsuta,hairy honeysuckle,,Lonicera hirsuta
I,D,Lonicera morrowii,Morrow's honeysuckle,,Lonicera morrowii
N,D,Lonicera oblongifolia,swamp fly honeysuckle,,Lonicera oblongifolia
N,C,Lonicera reticulata,grape honeysuckle,,"Lonicera prolifera, Lonicera reticulata s.s."
I,D,Lonicera tatarica,tartarian honeysuckle,,Lonicera tatarica
I,D,Lonicera xbella,pretty honeysuckle,,Lonicera xbella
I,H,Lotus corniculatus,bird's-foot trefoil,,Lotus corniculatus
N,H,Ludwigia palustris,common water primrose,,Ludwigia palustris
N,H,Ludwigia polycarpa,false loosestrife,,Ludwigia polycarpa
N,H,Lupinus perennis,wild lupine,,Lupinus perennis
I,H,Lupinus polyphyllus,large-leaved lupine,,Lupinus polyphyllus
N,G,Luzula acuminata var. acuminata,pointed woodrush,,Luzula acuminata
I,G,Luzula luzuloides subsp. luzuloides,Lamarck's woodrush,,Luzula luzuloides
N,G,Luzula multiflora subsp. multiflora,many-flowered woodrush,,Luzula multiflora
N,G,Luzula parviflora subsp. melanocarpa,small-flowered woodrush,,
I,D,Lycium barbarum,matrimony vine,,Lycium barbarum
N,H,Lycopodiella inundata,northern bog clubmoss,,Lycopodium inundatum
N,H,Lycopodium clavatum,common clubmoss,,Lycopodium clavatum s.l.
N,H,Lycopodium lagopus,one-cone clubmoss,,Lycopodium clavatum s.l.
N,H,Lycopus americanus,cut-leaved bugleweed,,Lycopus americanus
N,H,Lycopus asper,rough bugleweed,,Lycopus asper
N,H,Lycopus uniflorus,northern bugleweed,,Lycopus uniflorus
N,H,Lycopus virginicus,Virginia bugleweed,,Lycopus virginicus
N,H,Lycopus xsherardii,Sherard's bugleweed,,Lycopus xsherardii
N,H,Lygodesmia juncea,skeletonweed,,Lygodesmia juncea
N,H,Lysimachia ciliata,fringed loosestrife,,Lysimachia ciliata
N,H,Lysimachia hybrida,hybrid loosestrife,,Lysimachia hybrida
N,H,Lysimachia lanceolata,lance-leaved loosestrife,,
N,H,Lysimachia maritima,sea milkwort,,Glaux maritima
I,H,Lysimachia nummularia,moneywort,,Lysimachia nummularia
N,H,Lysimachia quadriflora,prairie loosestrife,,Lysimachia quadriflora
N,H,Lysimachia quadrifolia,whorled loosestrife,,Lysimachia quadrifolia
N,H,Lysimachia terrestris,swamp candles,,Lysimachia terrestris
N,H,Lysimachia thyrsiflora,tufted loosestrife,,Lysimachia thyrsiflora
I,H,Lysimachia vulgaris,garden yellow loosestrife,,Lysimachia vulgaris
N,H,Lysimachia xcommixta,mixed loosestrife,,Lysimachia xcommixta
N,H,Lythrum alatum var. alatum,winged loosesrtife,,Lythrum alatum var. alatum
I,H,Lythrum salicaria,purple loosestrife,,Lythrum salicaria
I,H,Madia glomerata,tarweed,,Madia glomerata
N,H,Maianthemum canadense,Canada mayflower,,"Maianthemum canadense, Maianthemum canadense var. canadense, Maianthemum canadense var. interius"
N,H,Maianthemum racemosum subsp. racemosum,common false Solomon's seal,,Smilacina racemosa
N,H,Maianthemum stellatum,starry false Solomon's seal,,Smilacina stellata
N,H,Maianthemum trifolium,three-leaved false Solomon's seal,,Smilacina trifolia
N,H,Malaxis monophyllos var. brachypoda,white adder's mouth,,Malaxis monophyllos var. brachypoda
N,H,Malaxis paludosa,bog adder's mouth,,Malaxis paludosa
N,H,Malaxis unifolia,green adder's mouth,,Malaxis unifolia
N,D,Malus ioensis,prairie crabapple,,Pyrus ioensis
I,H,Malva neglecta,common mallow,,Malva neglecta
I,H,Malva pusilla,dwarf mallow,,Malva rotundifolia
I,,Marsilea quadrifolia,European water clover,,
N,H,Marsilea vestita,hairy water-clover,,Marsilea vestita
I,H,Matricaria chamomilla,wild chamomile,,Matricaria recutita
I,H,Matricaria discoidea,pineapple weed,,Matricaria matricarioides
N,H,Matteuccia struthiopteris var. pensylvanica,ostrich fern,,Matteuccia struthiopteris
I,H,Medicago lupulina,black medick,,Medicago lupulina
I,H,Medicago sativa,alfalfa,,Medicago sativa
I,H,Medicago sativa subsp. falcata,yellow flowered alfalfa,,Medicago sativa subsp. falcata
I,H,Medicago sativa subsp. sativa,purple alfalfa,,Medicago sativa subsp. sativa
N,H,Melampyrum lineare,cow wheat,,Melampyrum lineare
N,H,Melampyrum lineare var. americanum,cow wheat,,Melampyrum lineare var. americanum
N,H,Melampyrum lineare var. lineare,cow wheat,,Melampyrum lineare var. lineare
N,G,Melica nitens,three-flowered melic,,Melica nitens
I,H,Melilotus albus,white sweet clover,,Melilotus albus
I,H,Melilotus officinalis,yellow sweet clover,,Melilotus officinalis
N,C,Menispermum canadense,Canada moonseed,,Menispermum canadense
N,H,Mentha arvensis var. canadensis,common mint,,Mentha arvensis var. canadensis
I,H,Mentha spicata,spearmint,,Mentha spicata s.s.
I,H,Mentha xgentilis,heartmint,,Mentha xgentilis
N,H,Menyanthes trifoliata,buckbean,,Menyanthes trifoliata
N,H,Mertensia paniculata,panicled bluebells,,Mertensia paniculata
N,H,Mertensia virginica,Virginia bluebells,,Mertensia virginica
N,H,Micranthes pensylvanica,swamp saxifrage,,Saxifraga pensylvanica
N,H,Micranthes virginiensis,Virginia saxifrage,,Saxifraga virginiensis
N,G,Milium effusum var. cisatlanticum,woodland millet grass,,Milium effusum
N,H,Mimulus ringens var. ringens,blue monkey flower,,Mimulus ringens var. ringens
N,H,Minuartia dawsonensis,rock sandwort,,Arenaria stricta var. litorea
N,H,Mirabilis albida,hairy four o'clock,,Mirabilis hirsuta
N,H,Mirabilis linearis var. linearis,narrow-leaved four o'clock,,Mirabilis linearis
N,H,Mirabilis nyctaginea,heart-leaved four o'clock,,Mirabilis nyctaginea
I,G,Miscanthus sacchariflorus,amur silver grass,,Miscanthus sacchariflorus
N,H,Mitchella repens,partridgeberry,,Mitchella repens
N,H,Mitella diphylla,two-leaved miterwort,,Mitella diphylla
N,H,Mitella nuda,naked miterwort,,Mitella nuda
N,H,Moehringia lateriflora,side-flowering sandwort,,Arenaria lateriflora
N,H,Moehringia macrophylla,large-leaved sandwort,,Arenaria macrophylla
N,H,Mollugo verticillata,carpetweed,,Mollugo verticillata
N,H,Monarda fistulosa,wild bergamot,,Monarda fistulosa
N,H,Monarda fistulosa var. fistulosa,wild bergamot,,Monarda fistulosa var. fistulosa
N,H,Monarda fistulosa var. menthaefolia,wild bergamot,,Monarda fistulosa var. menthaefolia
N,H,Monarda punctata var. villicaulis,spotted horsemint,,Monarda punctata var. villicaulis
N,H,Moneses uniflora,one-flowered pyrola,,Moneses uniflora
N,H,Monolepis nuttalliana,povertyweed,,Monolepis nuttalliana
N,H,Monotropa hypopitys,pinesap,,Monotropa hypopithys
N,H,Monotropa uniflora,Indian pipe,,Monotropa uniflora
N,H,Montia chamissoi,montia,,Montia chamissoi
I,D,Morus alba,white mulberry,,Morus alba
N,D,Morus rubra,red mulberry,,Morus rubra
N,G,Muhlenbergia asperifolia,scratchgrass,,Muhlenbergia asperifolia
N,G,Muhlenbergia cuspidata,Plains muhly,,Muhlenbergia cuspidata
N,G,Muhlenbergia frondosa,swamp muhly grass,,Muhlenbergia frondosa
N,G,Muhlenbergia glomerata,clustered muhly grass,,Muhlenbergia glomerata
N,G,Muhlenbergia mexicana,Mexican muhly grass,,Muhlenbergia mexicana
N,G,Muhlenbergia mexicana var. filiformis,Mexican muhly grass,,Muhlenbergia mexicana
N,G,Muhlenbergia mexicana var. mexicana,Mexican muhly grass,,Muhlenbergia mexicana
N,G,Muhlenbergia racemosa,marsh muhly grass,,Muhlenbergia racemosa
N,G,Muhlenbergia richardsonis,mat muhly grass,,Muhlenbergia richardsonis
N,G,Muhlenbergia schreberi,dropseed muhly grass,,Muhlenbergia schreberi
N,G,Muhlenbergia sylvatica,woodland muhly grass,,Muhlenbergia sylvatica
N,G,Muhlenbergia uniflora,one-flowered muhly,,Muhlenbergia uniflora
N,H,Mulgedium pulchellum,beautiful blue lettuce,,Lactuca pulchella
I,H,Myosotis arvensis,field forget-me-not,,Myosotis arvensis
N,H,Myosotis laxa,smaller forget-me-not,,Myosotis laxa
I,H,Myosotis scorpioides,true forget-me-not,,Myosotis scorpioides
I,H,Myosotis sylvatica,woodland forget-me-not,,Myosotis sylvatica
N,H,Myosotis verna,Virginia forget-me-not,,Myosotis verna
I,H,Myosoton aquaticum,giant chickweed,,Stellaria aquatica
N,H,Myosurus minimus,mousetail,,Myosurus minimus
N,D,Myrica gale,sweet gale,,Myrica gale
N,"H,S",Myriophyllum alterniflorum,alternate-flower water milfoil,,Myriophyllum alterniflorum
N,"H,S",Myriophyllum farwellii,Farwell's water milfoil,,Myriophyllum farwellii
N,"H,S",Myriophyllum heterophyllum,broadleaf water milfoil,,Myriophyllum heterophyllum
U,"H,S",Myriophyllum pinnatum,cutleaf watermilfoil,,
N,"H,S",Myriophyllum sibiricum,northern water milfoil,,Myriophyllum sibiricum
I,"H,S",Myriophyllum spicatum,Eurasian water milfoil,,Myriophyllum spicatum
N,"H,S",Myriophyllum tenellum,slender water milfoil,,Myriophyllum tenellum
N,"H,S",Myriophyllum verticillatum,whorled water milfoil,,Myriophyllum verticillatum
N,H,Myriopteris gracilis,slender lip fern,,Cheilanthes feei
N,"H,S",Najas flexilis,flexuous naiad,,Najas flexilis
N,"H,S",Najas gracillima,slender naiad,,Najas gracillima
N,"H,S",Najas guadalupensis,southern naiad,Najas guadalupensis s.s.,Najas guadalupensis s.l.
N,"H,S",Najas guadalupensis subsp. guadalupensis,guadalupian southern naid,Najas guadalupensis subsp. guadalupensis,Najas guadalupensis var. guadalupensis
N,"H,S",Najas guadalupensis subsp. olivacea,olive-colored southern naiad,Najas olivacea,Najas guadalupensis var. olivacea
N,"H,S",Najas marina,sea naiad,,Najas marina
I,"H,S",Najas minor,brittle water-nymph,,Najas minor
N,H,Napaea dioica,glade mallow,,Napaea dioica
N,G,Nassella viridula,green needle grass,,Stipa viridula
I,H,Nasturtium microphyllum,one-row yellowcress,,Rorippa nasturtium-aquaticum
I,H,Nasturtium officinale,small-leaved water cress,,Rorippa nasturtium-aquaticum
N,H,Nelumbo lutea,American lotus,,Nelumbo lutea
N,D,Nemopanthus mucronatus,swamp holly,,Nemopanthus mucronatus
I,H,Nepeta cataria,catnip,,Nepeta cataria
I,H,Neslia paniculata,ball mustard,,Neslia paniculata
N,H,Nothocalais cuspidata,prairie false dandelion,,Microseris cuspidata
N,"F,H",Nuphar microphylla,yellow pond-lily,,Nuphar microphylla
N,H,Nuphar rubrodisca,yellow pond-lily,,Nuphar xrubrodisca
N,"F,H",Nuphar variegata,bullhead pond-lily,,Nuphar variegata
N,H,Nuttallanthus canadensis,old field toadflax,,Linaria canadensis var. canadensis
N,"F,H",Nymphaea leibergii,small white waterlily,,Nymphaea tetragona
N,"F,H",Nymphaea odorata,American white waterlily,,Nymphaea odorata s.l.
N,"F,H",Nymphaea odorata subsp. odorata,American white waterlily,,Nymphaea odorata var. odorata
N,"F,H",Nymphaea odorata subsp. tuberosa,American white waterlily,,
I,H,Odontites vulgaris,red bartsia,,
N,H,Oenothera biennis,common evening primrose,,"Oenothera biennis s.s., Oenothera biennis var. biennis"
N,H,Oenothera clelandii,Cleland's evening primrose,,Oenothera clelandii
I,H,Oenothera curtiflora,velvetweed,,
N,H,Oenothera gaura,biennial gaura,,"Gaura biennis, Gaura biennis var. biennis"
N,H,Oenothera laciniata,cut-leaved evening primrose,,"Oenothera laciniata, Oenothera laciniata var. laciniata"
N,H,Oenothera nuttallii,Nuttall's evening primrose,,Oenothera nuttallii
N,H,Oenothera oakesiana,northern evening primrose,,Oenothera parviflora var. oakesiana
N,H,Oenothera parviflora,northern evening primrose,,"Oenothera parviflora s.l., Oenothera parviflora var. parviflora"
N,H,Oenothera perennis,perennial evening primrose,,Oenothera perennis
N,H,Oenothera rhombipetala,rhombic evening primrose,,Oenothera rhombipetala
N,H,Oenothera serrulata,toothed evening primrose,,Calylophus serrulatus
N,H,Oenothera suffrutescens,scarlet gaura,,Gaura coccinea
N,H,Oenothera villosa,hairy evening-primrose,,
N,H,Oenothera villosa subsp. strigosa,hairy evening-primrose,,
N,H,Oenothera villosa subsp. villosa,hairy evening-primrose,,Oenothera biennis var. canescens
N,H,Onoclea sensibilis,sensitive fern,,Onoclea sensibilis
N,H,Onosmodium molle,false gromwell,,Onosmodium molle
N,H,Onosmodium molle var. hispidissimum,false gromwell,,Onosmodium molle var. hispidissimum
N,H,Onosmodium molle var. occidentale,false gromwell,,Onosmodium molle var. occidentale
N,H,Ophioglossum pusillum,northern adder’s tongue,,Ophioglossum vulgatum var. pseudopodum
N,"H,K",Opuntia fragilis,brittle prickly pear,,Opuntia fragilis
N,K,Opuntia humifusa,devil's tongue,"Opuntia humifusa var. humifusa, Opuntia macrorhiza",Opuntia humifusa
I,H,Ornithogalum umbellatum,star-of-bethlehem,,Ornithogalum umbellatum
N,H,Orobanche fasciculata,clustered broomrape,,Orobanche fasciculata
N,H,Orobanche ludoviciana,Louisiana broomrape,,"Orobanche ludoviciana, Orobanche ludoviciana var. ludoviciana"
N,H,Orobanche uniflora subsp. uniflora,one-flowered broomrape,,
N,H,Orthilia secunda,one-sided pyrola,,Pyrola secunda
N,H,Orthocarpus luteus,owl clover,,Orthocarpus luteus
N,G,Oryzopsis asperifolia,mountain ricegrass,,Oryzopsis asperifolia
N,H,Osmorhiza berteroi,Chilean sweet cicely,,Osmorhiza chilensis
N,H,Osmorhiza claytonii,Clayton's sweet cicely,,Osmorhiza claytonii
N,H,Osmorhiza depauperata,blunt-fruited sweet cicely,,Osmorhiza depauperata
N,H,Osmorhiza longistylis,aniseroot,,Osmorhiza longistylis
N,H,Osmunda regalis var. spectabilis,royal fern,,Osmunda regalis var. spectabilis
N,H,Osmundastrum cinnamomeum,cinnamon fern,,Osmunda cinnamomea
N,D,Ostrya virginiana,ironwood,,Ostrya virginiana
N,H,Oxalis dillenii,southern wood-sorrel,,Oxalis dillenii
N,H,Oxalis montana,white wood-sorrel,,Oxalis acetosella
N,H,Oxalis stricta,yellow wood-sorrel,,Oxalis stricta
N,H,Oxalis violacea,violet wood-sorrel,,Oxalis violacea
N,H,Oxypolis rigidior,cowbane,,Oxypolis rigidior
N,H,Oxytropis borealis var. viscida,sticky locoweed,,Oxytropis viscida
N,H,Oxytropis campestris var. dispar,field locoweed,,Oxytropis campestris var. chartacea
N,H,Oxytropis lambertii var. lambertii,Lambert's locoweed,,Oxytropis lambertii var. lambertii
N,H,Packera aurea,golden ragwort,,Senecio aureus
N,H,Packera cana,gray ragwort,,Senecio canus
N,H,Packera indecora,elegant groundsel,,Senecio indecorus
N,H,Packera paupercula,balsam ragwort,,Senecio pauperculus
N,H,Packera plattensis,prairie ragwort,,Senecio plattensis
N,H,Packera pseudaurea var. semicordata,western heart-leaved groundsel,,"Senecio pseudaureus, Senecio pseudaureus var. semicordatus"
N,H,Panax quinquefolius,American ginseng,,Panax quinquefolius
N,H,Panax trifolius,dwarf ginseng,,Panax trifolius
N,G,Panicum capillare subsp. capillare,witch grass,,Panicum capillare
N,G,Panicum dichotomiflorum subsp. dichotomiflorum,fall panic grass,,Panicum dichotomiflorum
I,G,Panicum miliaceum subsp. ruderale,broomcorn millet,,Panicum miliaceum
N,G,Panicum philadelphicum subsp. philadelphicum,Philadelphia panic grass,,
N,G,Panicum virgatum,switchgrass,,Panicum virgatum
N,H,Parietaria pensylvanica,pellitory,,Parietaria pensylvanica
N,H,Parnassia glauca,American grass-of-parnassus,,Parnassia glauca
N,H,Parnassia palustris,marsh grass-of-parnassus,,Parnassia palustris
N,H,Paronychia canadensis,Canada forked chickweed,,Paronychia canadensis
N,H,Paronychia fastigiata var. fastigiata,forked chickweed,,Paronychia fastigiata var. fastigiata
N,H,Parthenium integrifolium,wild quinine,,Parthenium integrifolium
N,C,Parthenocissus quinquefolia,Virginia creeper,,Parthenocissus quinquefolia
N,C,Parthenocissus vitacea,woodbine,,Parthenocissus vitacea
N,G,Pascopyrum smithii,western wheatgrass,,Elytrigia smithii
N,G,Paspalum setaceum,hairy beadgrass,,Paspalum setaceum
N,G,Paspalum setaceum var. muhlenbergii,hurrahgrass,,Paspalum setaceum var. muhlenbergii
N,G,Paspalum setaceum var. stramineum,yellow sand paspalum,,Paspalum setaceum var. stramineum
I,H,Pastinaca sativa,wild parsnip,,Pastinaca sativa
N,H,Pedicularis canadensis,wood betony,,Pedicularis canadensis
N,H,Pedicularis lanceolata,swamp lousewort,,Pedicularis lanceolata
N,H,Pediomelum argophyllum,silverleaf scurfpea,,Pediomelum argophyllum
N,H,Pediomelum esculentum,prairie turnip,,Pediomelum esculentum
N,H,Pediomelum tenuiflorum,slender-leaved scurfpea,,Psoralidium tenuiflorum
N,H,Pellaea atropurpurea,purple cliffbrake,,Pellaea atropurpurea
N,H,Pellaea glabella subsp. glabella,smooth cliffbrake,,
I,H,Peltandra virginica,green arrow arum,,Peltandra virginica
N,H,Penstemon albidus,white beard tongue,,Penstemon albidus
N,H,Penstemon digitalis,foxglove beard tongue,,Penstemon digitalis
N,H,Penstemon gracilis,slender beard tongue,,Penstemon gracilis
N,H,Penstemon grandiflorus,large-flowered beard tongue,,Penstemon grandiflorus
N,H,Penstemon pallidus,pale beard tongue,,Penstemon pallidus
N,H,Penthorum sedoides,ditch stonecrop,,Penthorum sedoides
I,H,Peritoma serrulata,spider-flower,,Cleome serrulata
N,"F,H",Persicaria amphibia,water smartweed,,"Polygonum amphibium, Polygonum amphibium var. emersum, Polygonum amphibium var. stipulaceum"
N,H,Persicaria amphibia var. emersa,longroot smartweed,,Polygonum amphibium var. emersum
